"filename", "language", "Lua", "SQL", "Markdown", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\phone.js", "JavaScript", 0, 0, 0, 692, 0, 0, 53, 127, 872
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\photos.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 9, 86
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\qstore.js", "JavaScript", 0, 0, 0, 175, 0, 0, 3, 186, 364
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\racing.js", "JavaScript", 0, 0, 0, 394, 0, 0, 2, 48, 444
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\settings.js", "JavaScript", 0, 0, 0, 249, 0, 0, 25, 46, 320
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\taxi.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 7, 66
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\tow.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 7, 66
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\trucker.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\twitter.js", "JavaScript", 0, 0, 0, 350, 0, 0, 1, 69, 420
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\whatsapp.js", "JavaScript", 0, 0, 0, 391, 0, 0, 67, 85, 543
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\js\zoom.js", "JavaScript", 0, 0, 0, 90, 0, 0, 8, 13, 111
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\server\main.lua", "Lua", 1128, 0, 0, 0, 0, 0, 30, 152, 1310
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\vlast-phone.sql", "SQL", 0, 98, 0, 0, 0, 0, 27, 25, 150
"Total", "-", 4112, 98, 111, 5370, 1354, 8601, 1091, 2972, 23709
